"order","title","page.no","body","fedchamb_flag","sub1_flag","sub2_flag"
1,"COMMITTEES",1,"COMMITTEES",0,0,0
2,"Workforce Australia Employment Services Select Committee",1,"Workforce Australia Employment Services Select Committee",0,1,0
3,"Appointment",1,"Appointment",0,0,1
4,"BUSINESS",2,"BUSINESS",0,0,0
5,"TARIFF PROPOSALS",2,"TARIFF PROPOSALS",0,0,0
6,"Days and Hours of Meeting",2,"Days and Hours of Meeting",0,1,0
7,"Customs Tariff Proposal (No. 2) 2022",2,"Customs Tariff Proposal (No. 2) 2022",0,1,0
8,"Customs Tariff Proposal (No. 3) 2022",2,"Customs Tariff Proposal (No. 3) 2022",0,1,0
9,"PARLIAMENTARY OFFICE HOLDERS",3,"PARLIAMENTARY OFFICE HOLDERS",0,0,0
10,"Customs Tariff Proposal (No. 4) 2022",3,"Customs Tariff Proposal (No. 4) 2022",0,1,0
11,"Customs Tariff Proposal (No. 5) 2022",3,"Customs Tariff Proposal (No. 5) 2022",0,1,0
12,"Speaker's Panel",3,"Speaker's Panel",0,1,0
13,"COMMITTEES",4,"COMMITTEES",0,0,0
14,"Agriculture Committee, Communications and the Arts Committee, Economics Committee, Employment, Education and Training Committee, Climate Change, Energy, Environment and Water Committee, Health, Aged Care and Sport Committee, Industry, Science and Resources Committee, Regional Development, Infrastructure and Transport Committee, Social Policy and Legal Affairs Committee, Petitions Committee, Privileges and Members' Interests Committee, Procedure Committee, Publications Committee",4,"Agriculture CommitteeCommunications and the Arts CommitteeEconomics CommitteeEmployment, Education and Training CommitteeClimate Change, Energy, Environment and Water CommitteeHealth, Aged Care and Sport CommitteeIndustry, Science and Resources CommitteeRegional Development, Infrastructure and Transport CommitteeSocial Policy and Legal Affairs CommitteePetitions CommitteePrivileges and Members' Interests CommitteeProcedure CommitteePublications Committee",0,1,0
15,"Membership",4,"Membership",0,0,1
16,"BILLS",5,"BILLS",0,0,0
17,"Aboriginal and Torres Strait Islander Affairs Joint Committee, Australian Commission for Law Enforcement Integrity Joint Committee, Broadcasting of Parliamentary Proceedings Joint Committee, Corporations and Financial Services Joint Committee, Foreign Affairs, Defence and Trade Joint Committee, Human Rights Joint Committee, Law Enforcement Joint Committee, Migration Joint Committee, National Capital and External Territories Joint Committee, National Disability Insurance Scheme Joint Committee, Parliamentary Library Joint Committee, Public Accounts and Audit Joint Committee, Public Works Joint Committee, Trade and Investment Growth Joint Committee, Treaties Joint Committee, Electoral Matters Joint Committee, Implementation of the National Redress Scheme Joint Committee, Parliamentary Standards Joint Select Committee",5,"Aboriginal and Torres Strait Islander Affairs Joint CommitteeAustralian Commission for Law Enforcement Integrity Joint CommitteeBroadcasting of Parliamentary Proceedings Joint CommitteeCorporations and Financial Services Joint CommitteeForeign Affairs, Defence and Trade Joint CommitteeHuman Rights Joint CommitteeLaw Enforcement Joint CommitteeMigration Joint CommitteeNational Capital and External Territories Joint CommitteeNational Disability Insurance Scheme Joint CommitteeParliamentary Library Joint CommitteePublic Accounts and Audit Joint CommitteePublic Works Joint CommitteeTrade and Investment Growth Joint CommitteeTreaties Joint CommitteeElectoral Matters Joint CommitteeImplementation of the National Redress Scheme Joint CommitteeParliamentary Standards Joint Select Committee",0,1,0
18,"Australian Human Rights Commission Legislation Amendment (Selection and Appointment) Bill 2022",5,"Australian Human Rights Commission Legislation Amendment (Selection and Appointment) Bill 2022",0,1,0
19,"Membership",5,"Membership",0,0,1
20,"Second Reading",5,"Second ReadingConsideration resumed of the motion:That this bill be now read a second time.",0,0,1
21,"Treasury Laws Amendment (2022 Measures No. 1) Bill 2022",14,"Treasury Laws Amendment (2022 Measures No. 1) Bill 2022",0,1,0
22,"Second Reading",14,"Second ReadingConsideration resumed of the motion:That this bill be now read a second time.",0,0,1
23,"Social Security (Administration) Amendment (Repeal of Cashless Debit Card and Other Measures) Bill 2022",15,"Social Security (Administration) Amendment (Repeal of Cashless Debit Card and Other Measures) Bill 2022",0,1,0
24,"Third Reading",15,"Third Reading",0,0,1
25,"Second Reading",15,"Second ReadingConsideration resumed of the motion:That this bill be now read a second time.",0,0,1
26,"STATEMENTS BY MEMBERS",17,"STATEMENTS BY MEMBERS",0,0,0
27,"Corangamite Electorate: Climate Change",17,"Corangamite Electorate: Climate Change",0,1,0
28,"Biosecurity: Foot-and-Mouth Disease",17,"Biosecurity: Foot-and-Mouth Disease",0,1,0
29,"Robertson Electorate: Free Trade Day",17,"Robertson Electorate: Free Trade Day",0,1,0
30,"Regional Funding",18,"Regional Funding",0,1,0
31,"Hasluck Electorate: Environment",18,"Hasluck Electorate: Environment",0,1,0
32,"COVID-19: Higher School Certificate Students",18,"COVID-19: Higher School Certificate Students",0,1,0
33,"Hall, Ms Cathy",18,"Hall, Ms Cathy",0,1,0
34,"Canice's Kitchen",19,"Canice's Kitchen",0,1,0
35,"Road Safety",19,"Road Safety",0,1,0
36,"New South Wales: Floods",19,"New South Wales: Floods",0,1,0
37,"Werriwa Electorate: Lao New Year",20,"Werriwa Electorate: Lao New Year",0,1,0
38,"Burdett, Mr Kevin John, OAM",20,"Burdett, Mr Kevin John, OAM",0,1,0
39,"New South Wales: Floods",20,"New South Wales: Floods",0,1,0
40,"Tasmania: Agriculture, Biosecurity: Foot-And-Mouth Disease",20,"Tasmania: AgricultureBiosecurity: Foot-And-Mouth Disease",0,1,0
41,"Sport, Citizenship",21,"SportCitizenship",0,1,0
42,"Palliative Care",21,"Palliative Care",0,1,0
43,"Darwin Festival",21,"Darwin Festival",0,1,0
44,"Forde Electorate: Meadowbrook Golf Club",21,"Forde Electorate: Meadowbrook Golf Club",0,1,0
45,"STATEMENTS ON INDULGENCE",22,"STATEMENTS ON INDULGENCE",0,0,0
